beta,ESS
2.000000000000000000e+00,9.999800000000002328e+05
2.200000000000000178e+00,6.715203932230846258e+05
2.399999999999999911e+00,2.533806273219483264e+05
2.600000000000000089e+00,6.599251828859935631e+04
2.799999999999999822e+00,1.394717174199601504e+04
3.000000000000000000e+00,2.978414244851251169e+03
3.200000000000000178e+00,7.692414513757169061e+02
3.400000000000000355e+00,2.575540460124686888e+02
3.600000000000000089e+00,1.106829819207993353e+02
3.799999999999999822e+00,5.834110970579676803e+01
4.000000000000000000e+00,3.582693223575486030e+01
4.200000000000000178e+00,2.454555107861551377e+01
4.400000000000000355e+00,1.817342017792472220e+01
4.599999999999999645e+00,1.422539541698711751e+01
4.800000000000000711e+00,1.159901569094077445e+01
5.000000000000000000e+00,9.753354054365663828e+00
5.200000000000000178e+00,8.399794791855022424e+00
5.400000000000000355e+00,7.373195771934462961e+00
5.599999999999999645e+00,6.573376809290183864e+00
5.800000000000000711e+00,5.936510154435170605e+00
6.000000000000000000e+00,5.420212615443487536e+00
6.200000000000000178e+00,4.995337214754981936e+00
6.400000000000000355e+00,4.641231822859722023e+00
6.600000000000000533e+00,4.342883507868261717e+00
6.800000000000000711e+00,4.089134511362148672e+00
7.000000000000000000e+00,3.871531267849691815e+00
7.200000000000000178e+00,3.683560443094253678e+00
7.400000000000000355e+00,3.520128914283348287e+00
7.600000000000000533e+00,3.377201755382059467e+00
7.800000000000000711e+00,3.251545094575661210e+00
8.000000000000000000e+00,3.140540124880021100e+00
8.199999999999999289e+00,3.042046359576319414e+00
8.400000000000000355e+00,2.954299590657597729e+00
8.600000000000001421e+00,2.875834708572897913e+00
8.800000000000000711e+00,2.805426603099451022e+00
9.000000000000000000e+00,2.742044397532575672e+00
9.199999999999999289e+00,2.684815641202264125e+00
9.400000000000000355e+00,2.632998027648289163e+00
9.600000000000001421e+00,2.585956862263995681e+00
9.800000000000000711e+00,2.543146966916353335e+00
1.000000000000000000e+01,2.504098040805572634e+00
